time_elapsed,explored_cells,distance
1.98,425,0.00
2.23,425,0.00
2.48,427,0.00
2.73,427,0.03
2.98,443,0.45
3.23,450,0.64
3.47,471,1.10
3.72,492,1.55
3.97,518,2.10
4.22,547,2.80
4.47,568,3.25
4.72,590,3.70
4.97,623,4.37
5.22,648,4.94
5.47,670,5.40
5.71,687,5.83
5.96,723,6.56
6.21,745,7.03
6.46,766,7.49
6.71,791,8.03
6.96,820,8.72
7.21,842,9.17
7.46,863,9.61
7.71,889,10.27
7.96,907,10.90
8.20,921,11.60
8.45,927,11.96
8.70,929,12.23
8.95,936,12.74
9.20,941,13.02
9.45,943,13.28
9.70,952,13.58
9.95,962,14.01
10.20,977,14.73
10.45,989,15.17
10.70,1001,15.64
10.95,1014,16.23
11.20,1030,16.90
11.45,1044,17.27
11.69,1053,17.69
11.94,1066,18.13
12.19,1078,18.59
12.44,1086,19.04
12.69,1098,19.49
12.94,1108,19.93
13.19,1131,20.63
13.44,1146,21.16
13.69,1163,21.61
13.94,1180,22.09
14.19,1201,22.81
14.44,1216,23.25
14.69,1235,23.71
14.94,1250,24.18
15.19,1265,24.64
15.44,1287,25.11
15.69,1314,25.56
15.94,1341,26.02
16.19,1377,26.64
16.44,1406,27.14
16.69,1420,27.51
16.94,1438,27.77
17.19,1450,28.06
17.43,1458,28.31
17.68,1472,28.77
17.93,1484,29.16
18.18,1502,29.60
18.43,1514,30.05
18.68,1530,30.39
18.93,1539,30.65
19.18,1546,30.92
19.43,1554,31.30
19.68,1555,31.48
19.93,1560,31.74
20.18,1592,32.42
20.43,1618,32.97
20.68,1642,33.41
20.93,1654,33.69
21.18,1670,34.02
21.43,1686,34.38
21.68,1707,34.87
21.93,1738,35.61
22.18,1758,36.04
22.43,1764,36.23
22.68,1777,36.74
22.93,1799,37.27
23.18,1833,38.02
23.43,1857,38.56
23.68,1877,39.01
23.93,1894,39.46
24.18,1919,40.10
24.43,1933,40.50
24.68,1944,40.80
24.93,1954,41.21
25.18,1969,41.66
25.43,1979,42.11
25.68,1988,42.56
25.93,2003,43.24
26.18,2014,43.73
26.43,2023,44.19
26.68,2034,44.65
26.93,2035,44.84
27.18,2040,45.32
27.43,2045,45.73
27.68,2047,45.99
27.92,2052,46.57
28.18,2062,47.17
28.42,2071,47.72
28.67,2087,48.15
28.92,2096,48.58
29.17,2101,48.89
29.42,2106,49.21
29.67,2112,49.59
29.92,2125,50.04
30.17,2136,50.54
30.42,2150,51.05
30.67,2166,51.52
30.92,2186,52.25
31.17,2205,52.69
31.42,2225,53.15
31.67,2245,53.63
31.92,2280,54.38
32.17,2304,54.88
32.42,2329,55.27
32.67,2350,55.72
32.92,2380,56.28
33.17,2397,56.63
33.42,2411,56.96
33.67,2426,57.34
33.92,2436,57.63
34.17,2453,58.10
34.42,2465,58.55
34.67,2481,59.00
34.92,2495,59.45
35.17,2515,60.11
35.42,2531,60.55
35.67,2540,60.79
35.92,2554,61.20
36.17,2569,61.65
36.42,2586,62.12
36.67,2605,62.58
36.92,2642,63.26
37.17,2672,63.77
37.42,2682,64.02
37.67,2690,64.22
37.92,2702,64.52
38.17,2709,64.91
38.42,2713,65.16
38.67,2725,65.50
38.92,2729,65.81
39.17,2738,66.21
39.42,2746,66.66
39.67,2752,67.19
39.92,2754,67.35
40.17,2759,67.86
40.42,2759,68.26
40.67,2759,68.33
40.92,2759,68.33
41.17,2759,68.35
41.42,2759,68.41
41.67,2759,68.75
