time_elapsed,explored_cells
4.00,706
4.25,820
4.50,846
4.75,873
5.00,892
5.25,925
5.50,959
5.75,997
6.00,1059
6.25,1084
6.50,1095
6.75,1113
7.00,1135
7.25,1148
7.50,1162
7.75,1162
8.00,1176
8.25,1205
8.50,1234
8.75,1258
9.00,1295
9.25,1331
9.50,1404
9.75,1449
10.00,1478
10.25,1513
10.50,1539
10.75,1559
11.00,1565
11.25,1584
11.50,1592
11.75,1609
12.00,1622
12.25,1632
12.50,1640
12.75,1649
13.00,1661
13.25,1669
13.50,1673
13.75,1680
14.00,1686
14.25,1690
14.50,1702
14.75,1708
15.00,1717
15.25,1727
15.50,1741
15.75,1753
16.00,1763
16.25,1813
16.50,1917
16.75,1956
17.00,1971
17.25,1987
17.50,2009
17.75,2014
18.00,2014
18.25,2022
18.50,2035
18.75,2060
19.00,2070
19.25,2091
19.50,2113
19.75,2130
20.00,2152
20.25,2170
20.50,2198
20.75,2215
21.00,2231
21.25,2248
21.50,2249
21.75,2249
22.00,2251
22.25,2252
22.50,2252
22.75,2252
23.00,2265
23.25,2276
23.50,2285
23.75,2293
24.00,2315
24.25,2325
24.50,2326
24.75,2347
25.00,2373
25.25,2394
25.50,2408
25.75,2437
26.00,2463
26.25,2490
26.50,2507
26.75,2531
27.00,2561
27.25,2580
27.50,2607
27.75,2626
28.00,2647
28.25,2665
28.50,2680
28.75,2703
29.00,2725
29.25,2757
29.50,2813
29.75,2865
30.00,2922
30.25,2948
30.50,2958
30.75,2960
31.00,2968
31.25,2989
31.50,3003
31.75,3030
32.00,3042
32.25,3048
32.50,3065
32.75,3067
33.00,3067
33.25,3067
33.50,3067
33.75,3067
34.00,3068
34.25,3068
34.50,3073
34.75,3081
35.00,3088
35.25,3094
35.50,3114
35.75,3128
36.00,3140
36.25,3160
36.50,3169
36.75,3182
37.00,3199
37.25,3228
37.50,3255
37.75,3286
38.00,3317
38.25,3341
38.50,3363
38.75,3396
39.00,3418
39.25,3439
39.50,3464
39.75,3492
40.00,3519
40.25,3556
40.50,3593
40.75,3660
41.00,3709
41.25,3739
41.50,3756
41.75,3771
42.00,3779
42.25,3793
42.50,3811
42.75,3829
43.00,3852
43.25,3864
43.50,3870
43.75,3878
44.00,3882
44.25,3890
44.50,3894
44.75,3899
45.00,3903
45.25,3912
45.50,3921
45.75,3926
46.00,3940
46.25,3953
46.50,3969
46.75,3976
47.00,3987
47.25,4002
47.50,4018
47.75,4031
48.00,4051
48.25,4060
48.50,4076
48.75,4083
49.00,4104
49.25,4118
49.50,4137
49.75,4169
50.00,4202
50.25,4240
50.50,4265
50.75,4294
51.00,4310
