time_elapsed,explored_cells,distance
1.25,593,0.00
1.50,593,0.00
1.74,593,0.00
1.99,593,0.00
2.24,593,0.00
2.49,593,0.00
2.74,593,0.00
2.99,598,0.02
3.24,607,0.05
3.49,614,0.08
3.74,619,0.11
3.99,632,0.14
4.24,680,0.41
4.49,700,0.63
4.74,706,0.99
4.99,711,1.36
5.24,721,1.65
5.49,723,1.81
5.73,724,2.19
5.98,729,2.56
6.23,734,2.94
6.48,737,3.31
6.73,744,3.69
6.98,752,4.06
7.23,756,4.44
7.48,764,4.81
7.73,774,5.19
7.98,783,5.56
8.23,786,5.82
8.48,793,6.14
8.73,795,6.43
8.98,799,6.63
9.23,804,6.97
9.48,808,7.35
9.73,813,7.65
9.98,816,7.93
10.22,826,8.29
10.47,829,8.66
10.72,834,9.03
10.97,846,9.41
11.22,848,9.77
11.47,855,10.15
11.72,861,10.52
11.97,869,10.89
12.22,873,11.26
12.47,882,11.64
12.72,887,12.01
12.97,905,12.39
13.22,916,12.76
13.47,924,13.14
13.72,934,13.51
13.97,945,13.89
14.22,974,14.26
14.47,995,14.64
14.72,1009,15.01
14.97,1034,15.39
15.22,1049,15.76
15.47,1058,16.14
15.72,1068,16.50
15.97,1091,16.86
16.22,1102,17.20
16.46,1105,17.27
16.71,1105,17.36
16.96,1111,17.74
17.21,1128,18.11
17.46,1138,18.40
17.71,1143,18.65
17.96,1146,18.91
18.21,1150,19.23
18.46,1150,19.48
18.71,1154,19.75
18.96,1164,20.13
19.21,1165,20.50
19.46,1172,20.88
19.71,1190,21.25
19.96,1198,21.63
20.21,1212,22.00
20.46,1231,22.38
20.71,1263,22.75
20.96,1296,23.13
21.21,1318,23.33
21.46,1336,23.62
21.71,1353,23.83
21.96,1354,23.88
22.21,1366,24.05
22.46,1387,24.37
22.71,1398,24.66
22.96,1409,24.93
23.21,1425,25.31
23.46,1439,25.68
23.71,1449,26.06
23.96,1455,26.39
24.21,1458,26.59
24.46,1466,26.94
24.71,1471,27.24
24.96,1477,27.49
25.20,1479,27.79
25.45,1484,28.15
25.70,1489,28.53
25.95,1491,28.89
26.20,1495,29.27
26.45,1498,29.63
26.70,1502,30.01
26.95,1504,30.38
27.20,1513,30.76
27.45,1516,31.13
27.70,1517,31.51
27.95,1518,31.88
28.20,1523,32.26
28.45,1528,32.63
28.70,1531,33.01
28.95,1531,33.38
29.20,1534,33.76
29.45,1537,34.13
29.70,1540,34.51
29.95,1546,34.88
30.20,1548,35.26
30.45,1554,35.63
30.70,1557,36.01
30.95,1559,36.38
31.20,1562,36.75
31.45,1562,37.12
31.70,1565,37.50
31.95,1569,37.86
32.20,1570,38.24
32.45,1571,38.61
32.70,1574,38.99
32.95,1576,39.36
33.20,1578,39.74
33.45,1581,40.11
33.70,1583,40.49
33.95,1584,40.86
34.20,1586,41.23
34.45,1586,41.60
34.70,1591,41.97
34.95,1595,42.29
35.20,1595,42.67
35.45,1599,43.04
35.70,1601,43.42
35.95,1602,43.79
36.20,1605,44.17
36.45,1609,44.54
36.70,1609,44.92
36.95,1615,45.29
37.20,1622,45.67
37.45,1622,46.04
37.70,1623,46.31
37.95,1624,46.60
38.20,1628,46.83
38.45,1633,47.13
38.70,1634,47.49
38.95,1645,47.86
39.20,1649,48.23
39.45,1661,48.60
39.69,1661,48.98
39.94,1666,49.35
40.19,1672,49.73
40.44,1675,50.10
40.69,1681,50.48
40.94,1687,50.83
41.19,1691,51.20
41.44,1694,51.48
41.69,1695,51.71
41.94,1697,52.09
42.19,1708,52.46
42.44,1709,52.83
42.69,1716,53.20
42.94,1718,53.58
43.19,1725,53.69
43.44,1728,54.04
43.69,1740,54.41
43.94,1742,54.70
44.19,1745,54.95
44.44,1746,55.20
44.69,1749,55.58
44.94,1751,55.86
45.19,1752,56.18
45.44,1754,56.56
45.69,1762,56.82
45.94,1764,57.05
46.19,1766,57.30
46.44,1769,57.65
46.69,1770,57.94
46.94,1771,58.26
47.19,1773,58.35
47.44,1777,58.41
47.69,1777,58.73
47.94,1778,59.02
48.19,1778,59.23
48.44,1778,59.56
48.69,1778,59.94
48.94,1780,60.31
49.19,1780,60.31
49.44,1780,60.31
49.69,1780,60.31
49.94,1780,60.31
50.19,1780,60.32
50.44,1780,60.36
50.69,1780,60.40
50.94,1780,60.44
51.19,1780,60.48
51.44,1780,60.68
51.69,1780,60.97
51.94,1780,61.22
52.19,1780,61.49
52.44,1780,61.86
52.69,1780,62.23
52.94,1781,62.60
53.19,1783,62.98
53.44,1783,63.24
53.69,1785,63.56
53.94,1786,63.93
54.19,1791,64.29
54.44,1796,64.67
54.69,1802,65.05
54.94,1805,65.42
55.19,1814,65.80
55.44,1816,66.17
55.69,1818,66.54
55.94,1822,66.91
56.19,1828,67.27
56.44,1831,67.50
56.69,1833,67.88
56.95,1835,68.24
57.20,1840,68.50
57.45,1846,68.73
57.70,1850,69.07
57.95,1854,69.45
58.20,1856,69.82
58.45,1858,70.19
58.70,1858,70.56
58.96,1860,70.90
59.21,1860,71.13
59.46,1860,71.25
59.71,1860,71.25
59.96,1860,71.25
60.21,1860,71.25
60.46,1860,71.25
60.72,1860,71.25
60.97,1860,71.27
61.22,1860,71.29
61.47,1860,71.31
61.72,1860,71.33
61.97,1860,71.51
62.22,1860,71.88
62.47,1860,72.26
62.72,1860,72.63
62.97,1860,73.00
63.23,1860,73.39
63.48,1860,73.76
63.73,1860,74.14
63.98,1860,74.51
64.23,1860,74.89
64.48,1860,75.26
64.73,1860,75.64
64.98,1860,76.01
65.23,1860,76.39
65.48,1860,76.76
65.74,1860,77.14
65.99,1860,77.53
66.24,1860,77.90
66.49,1860,78.28
66.74,1860,78.65
66.99,1861,79.03
67.24,1861,79.40
67.49,1861,79.78
67.74,1863,80.15
67.99,1867,80.52
68.24,1869,80.89
68.49,1873,81.27
68.74,1878,81.42
69.00,1879,81.81
69.25,1879,82.15
69.50,1880,82.45
69.75,1886,82.69
70.00,1895,82.99
70.25,1895,83.36
70.50,1895,83.64
70.75,1907,84.02
71.00,1910,84.39
71.25,1913,84.76
71.50,1917,85.13
71.75,1921,85.51
72.00,1921,85.88
72.25,1921,86.26
72.50,1921,86.45
72.75,1923,86.80
73.01,1925,87.10
73.26,1925,87.35
73.51,1925,87.63
73.76,1925,88.01
74.01,1925,88.38
74.26,1925,88.75
74.51,1925,89.12
74.76,1927,89.49
75.01,1929,89.86
75.26,1930,90.24
75.51,1930,90.62
75.76,1930,90.99
76.01,1931,91.36
76.26,1931,91.62
76.51,1932,91.97
76.76,1932,92.29
77.01,1932,92.54
77.26,1933,92.78
77.52,1934,93.16
77.76,1934,93.54
78.02,1934,93.93
78.27,1934,94.30
78.52,1936,94.68
78.77,1937,95.05
79.02,1937,95.42
79.27,1937,95.64
79.52,1937,95.64
79.77,1937,95.64
80.02,1937,95.64
80.27,1937,95.64
80.52,1937,95.65
80.77,1939,95.68
81.02,1939,95.71
81.27,1939,95.75
81.52,1939,95.78
81.77,1939,95.99
82.02,1939,96.25
82.27,1939,96.51
82.52,1939,96.89
82.77,1939,97.26
83.02,1939,97.52
