time_elapsed,explored_cells,distance
1.25,680,0.00
1.50,680,0.00
1.75,680,0.00
2.00,680,0.00
2.25,680,0.00
2.50,680,0.00
2.75,680,0.00
3.00,680,0.00
3.25,695,0.03
3.50,706,0.06
3.75,716,0.09
4.00,723,0.12
4.25,775,0.32
4.50,814,0.69
4.75,842,1.07
5.00,855,1.44
5.25,864,1.82
5.50,877,2.19
5.75,885,2.57
6.00,894,2.94
6.25,895,3.05
6.50,895,3.05
6.75,895,3.05
7.00,899,3.09
7.25,900,3.14
7.50,900,3.18
7.75,902,3.23
8.00,902,3.38
8.25,906,3.70
8.50,911,3.99
8.75,911,4.23
9.00,912,4.61
9.25,915,4.98
9.50,920,5.35
9.75,924,5.73
10.00,927,6.10
10.25,928,6.47
10.50,936,6.85
10.75,942,7.22
11.00,945,7.60
11.25,953,7.97
11.50,960,8.35
11.75,962,8.72
12.00,972,9.10
12.25,974,9.47
12.50,976,9.85
12.75,981,10.22
13.00,983,10.60
13.25,993,10.97
13.50,998,11.35
13.75,1011,11.72
14.00,1022,12.10
14.25,1023,12.21
14.50,1026,12.24
14.75,1026,12.28
15.00,1038,12.48
15.25,1044,12.76
15.50,1064,13.14
15.75,1082,13.51
16.00,1094,13.88
16.25,1102,14.26
16.50,1115,14.63
16.75,1128,14.99
17.00,1129,15.37
17.25,1145,15.75
17.50,1159,16.12
17.75,1161,16.49
18.00,1175,16.87
18.25,1178,17.24
18.50,1184,17.62
18.75,1192,17.99
19.00,1201,18.37
19.25,1204,18.74
19.50,1208,19.12
19.75,1214,19.49
20.00,1226,19.87
20.25,1227,20.24
20.50,1231,20.62
20.75,1234,20.99
21.00,1236,21.37
21.25,1239,21.74
21.50,1255,22.12
21.75,1258,22.50
22.00,1268,22.87
22.25,1282,23.24
22.50,1288,23.62
22.75,1293,23.85
23.00,1301,24.09
23.25,1309,24.44
23.50,1320,24.72
23.75,1323,25.04
24.00,1325,25.41
24.25,1334,25.79
24.50,1365,26.16
24.75,1371,26.53
25.00,1375,26.90
25.25,1398,27.27
25.50,1403,27.65
25.75,1409,28.02
26.00,1432,28.40
26.25,1457,28.77
26.50,1478,29.15
26.75,1494,29.52
27.00,1509,29.90
27.25,1523,30.26
27.50,1534,30.64
27.75,1541,31.01
28.00,1554,31.38
28.25,1562,31.53
28.50,1563,31.58
28.75,1572,31.95
29.00,1587,32.27
29.25,1595,32.52
29.50,1601,32.75
29.75,1611,33.07
30.00,1613,33.45
30.25,1617,33.82
30.50,1617,34.20
30.75,1623,34.58
31.00,1629,34.95
31.25,1635,35.32
31.50,1641,35.70
31.75,1645,36.07
32.00,1659,36.45
32.25,1680,36.82
32.50,1681,37.20
32.75,1694,37.58
33.00,1708,37.95
33.25,1720,38.01
33.50,1720,38.01
33.75,1720,38.01
34.00,1720,38.01
34.25,1720,38.01
34.50,1720,38.02
34.75,1721,38.08
35.00,1721,38.13
35.25,1722,38.18
35.50,1722,38.22
35.75,1722,38.31
36.00,1722,38.54
36.25,1723,38.91
36.50,1723,39.29
36.75,1723,39.66
37.00,1723,40.04
37.25,1725,40.35
37.50,1730,40.73
37.75,1733,41.10
38.00,1735,41.35
38.25,1736,41.62
38.50,1740,42.00
38.75,1745,42.37
39.00,1746,42.49
39.25,1753,42.80
39.50,1762,43.12
39.75,1776,43.41
40.00,1781,43.63
40.25,1787,44.00
40.50,1791,44.37
40.75,1802,44.74
41.00,1809,45.12
41.25,1816,45.49
41.50,1827,45.84
41.75,1836,46.21
42.00,1849,46.59
42.25,1868,46.88
42.50,1880,47.13
42.75,1894,47.41
43.00,1907,47.78
43.25,1930,48.16
43.50,1944,48.53
43.75,1956,48.91
44.00,1968,49.28
44.25,1983,49.66
44.50,2005,50.03
44.75,2011,50.41
45.00,2023,50.78
45.25,2035,51.05
45.50,2038,51.43
45.75,2045,51.80
46.00,2055,52.18
46.25,2063,52.55
46.50,2067,52.93
46.75,2071,53.30
47.00,2079,53.67
47.25,2085,54.04
47.50,2096,54.42
47.75,2104,54.79
