time_elapsed,explored_cells
4.00,706
4.25,769
4.50,841
4.75,856
5.00,867
5.25,887
5.50,900
5.75,924
6.00,976
6.25,1020
6.50,1062
6.75,1069
7.00,1070
7.25,1096
7.50,1110
7.75,1128
8.00,1128
8.25,1143
8.50,1156
8.75,1179
9.00,1204
9.25,1220
9.50,1258
9.75,1283
10.00,1331
10.25,1374
10.50,1427
10.75,1472
11.00,1506
11.25,1524
11.50,1527
11.75,1550
12.00,1564
12.25,1587
12.50,1595
12.75,1605
13.00,1617
13.25,1627
13.50,1638
13.75,1648
14.00,1656
14.25,1660
14.50,1662
14.75,1670
15.00,1675
15.25,1677
15.50,1683
15.75,1691
16.00,1697
16.25,1715
16.50,1724
16.75,1741
17.00,1757
17.25,1787
17.50,1812
17.75,1834
18.00,1870
18.25,1907
18.50,1936
18.75,1960
19.00,1972
19.25,1993
19.50,2006
19.75,2021
20.00,2031
20.25,2047
20.50,2057
20.75,2063
21.00,2063
21.25,2064
21.50,2064
21.75,2074
22.00,2081
22.25,2087
22.50,2093
22.75,2105
23.00,2116
23.25,2126
23.50,2143
23.75,2161
24.00,2178
24.25,2205
24.50,2206
24.75,2213
25.00,2213
25.25,2214
25.50,2225
25.75,2249
26.00,2257
26.25,2280
26.50,2294
26.75,2309
27.00,2317
27.25,2338
27.50,2346
27.75,2355
28.00,2365
28.25,2369
28.50,2384
28.75,2395
29.00,2434
29.25,2473
29.50,2516
29.75,2529
30.00,2545
30.25,2569
30.50,2579
30.75,2598
31.00,2620
31.25,2635
31.50,2657
31.75,2677
32.00,2695
32.25,2721
32.50,2742
32.75,2765
33.00,2785
33.25,2809
33.50,2831
33.75,2847
34.00,2877
34.25,2894
34.50,2913
34.75,2916
35.00,2916
35.25,2919
35.50,2919
35.75,2920
36.00,2933
36.25,2941
36.50,2951
36.75,2963
37.00,2976
37.25,2991
37.50,3006
37.75,3020
38.00,3032
38.25,3041
38.50,3050
38.75,3064
39.00,3076
39.25,3087
39.50,3103
39.75,3163
40.00,3206
40.25,3266
40.50,3310
40.75,3354
41.00,3378
41.25,3395
41.50,3413
41.75,3436
42.00,3450
42.25,3450
42.50,3450
42.75,3450
43.00,3450
43.25,3453
43.50,3453
43.75,3454
44.00,3459
44.25,3460
44.50,3469
44.75,3476
45.00,3491
45.25,3497
45.50,3506
45.75,3514
46.00,3520
46.25,3524
46.50,3531
46.75,3538
47.00,3546
47.25,3556
47.50,3574
47.75,3590
48.00,3608
48.25,3629
48.50,3643
48.75,3658
49.00,3678
49.25,3697
49.50,3718
49.75,3737
50.00,3748
50.25,3783
50.50,3803
50.75,3847
51.00,3875
51.25,3898
51.50,3901
51.75,3913
52.00,3924
52.25,3931
52.50,3948
52.75,3960
53.00,3977
53.25,3989
53.50,4000
53.75,4001
54.00,4004
54.25,4024
54.50,4029
54.75,4046
55.00,4070
55.25,4083
55.50,4106
55.75,4128
56.00,4155
56.25,4192
56.50,4246
56.75,4301
57.00,4313
57.25,4313
57.50,4314
57.75,4316
58.00,4336
58.25,4358
58.50,4371
58.75,4382
59.00,4401
59.25,4418
59.50,4425
59.75,4442
60.00,4459
60.25,4468
60.50,4481
60.75,4495
61.00,4523
61.25,4569
61.50,4589
61.75,4594
62.00,4610
62.25,4635
62.50,4645
62.75,4661
63.00,4680
63.25,4695
63.50,4716
63.75,4748
64.00,4756
64.25,4756
64.50,4757
64.75,4757
65.00,4757
65.25,4757
65.50,4758
65.75,4762
66.00,4762
66.25,4762
66.50,4762
66.75,4762
67.00,4763
67.25,4763
67.50,4763
67.75,4763
68.00,4763
68.25,4763
68.50,4763
68.75,4763
69.00,4763
69.25,4763
69.50,4763
69.75,4763
70.00,4763
70.25,4763
70.50,4763
70.75,4763
71.00,4767
71.25,4775
71.50,4785
71.75,4800
72.00,4812
72.25,4828
72.50,4843
72.75,4858
73.00,4874
73.25,4885
73.50,4896
73.75,4916
74.00,4936
74.25,4947
74.50,4951
74.75,4959
75.00,4966
75.25,4971
75.50,4977
75.75,4982
76.00,4989
76.25,4998
76.50,4998
76.75,4998
77.00,4998
77.25,4998
77.50,4998
77.75,4998
78.00,4999
78.25,4999
78.50,5000
78.75,5005
79.00,5006
79.25,5006
79.50,5006
79.75,5007
80.00,5008
80.25,5008
80.50,5010
80.75,5011
81.00,5014
81.25,5016
81.50,5019
81.75,5021
82.00,5022
82.25,5025
82.50,5029
82.75,5037
83.00,5042
83.25,5057
83.50,5065
83.75,5071
84.00,5077
84.25,5081
84.50,5084
84.75,5091
85.00,5093
85.25,5094
85.50,5101
85.75,5107
86.00,5112
86.25,5112
86.50,5115
86.75,5115
87.00,5115
87.25,5115
87.50,5116
87.75,5116
88.00,5117
88.25,5117
88.50,5117
88.75,5117
89.00,5117
89.25,5117
89.50,5117
89.75,5117
90.00,5117
90.25,5117
90.50,5117
90.75,5117
91.00,5120
91.25,5121
91.50,5126
91.75,5129
92.00,5134
92.25,5138
92.50,5148
92.75,5152
93.00,5159
93.25,5165
93.50,5175
93.75,5182
94.00,5193
94.25,5202
94.50,5214
94.75,5224
95.00,5244
95.25,5249
95.50,5259
95.75,5266
96.00,5267
96.25,5268
96.50,5271
96.75,5272
97.00,5272
97.25,5272
97.50,5272
97.75,5273
98.00,5275
98.25,5281
98.50,5289
98.75,5298
99.00,5311
99.25,5320
99.50,5331
99.75,5346
100.00,5360
100.25,5370
100.50,5384
100.75,5399
101.00,5401
101.25,5401
101.50,5402
101.75,5412
102.00,5422
102.25,5434
102.50,5441
102.75,5450
103.00,5463
103.25,5481
103.50,5498
103.75,5515
104.00,5534
104.25,5551
104.50,5580
104.75,5601
105.00,5621
105.25,5631
105.50,5642
105.75,5663
106.00,5679
106.25,5699
106.50,5714
106.75,5737
107.00,5763
107.25,5776
107.50,5776
107.75,5777
108.00,5793
108.25,5821
108.50,5842
108.75,5876
109.00,5906
109.25,5925
109.50,5946
109.75,5961
110.00,5973
110.25,5980
110.50,5991
110.75,5998
111.00,6007
111.25,6021
111.50,6037
111.75,6046
112.00,6054
112.25,6073
112.50,6087
112.75,6107
113.00,6118
113.25,6140
113.50,6153
113.75,6164
114.00,6181
114.25,6189
114.50,6193
114.75,6195
115.00,6205
115.25,6216
115.50,6237
115.75,6267
116.00,6299
116.25,6330
116.50,6362
116.75,6386
117.00,6409
117.25,6452
117.50,6481
117.75,6515
118.00,6559
118.25,6586
118.50,6621
118.75,6659
119.00,6700
119.25,6735
119.50,6761
119.75,6788
120.00,6804
120.25,6820
120.50,6820
120.75,6820
121.00,6820
121.25,6820
121.50,6821
121.75,6822
122.00,6823
122.25,6823
122.50,6829
122.75,6847
123.00,6858
123.25,6866
123.50,6878
123.75,6893
124.00,6902
124.25,6916
124.50,6925
124.75,6936
125.00,6943
125.25,6949
125.50,6951
125.75,6951
126.00,6951
126.25,6951
126.50,6951
126.75,6951
127.00,6951
127.25,6951
127.50,6951
127.75,6951
128.00,6951
128.25,6951
128.50,6951
128.75,6951
129.00,6951
129.25,6951
129.50,6951
129.75,6951
130.00,6951
130.25,6951
130.50,6951
130.75,6951
131.00,6951
131.25,6951
131.50,6951
131.75,6951
132.00,6951
132.25,6951
132.50,6951
132.75,6951
133.00,6951
133.25,6951
133.50,6951
133.75,6951
134.00,6951
134.25,6951
134.50,6951
134.75,6951
135.00,6951
135.25,6951
135.50,6951
135.75,6951
136.00,6951
136.25,6951
136.50,6951
136.75,6951
137.00,6951
137.25,6951
137.50,6951
137.75,6951
138.00,6951
138.25,6951
138.50,6951
138.75,6951
139.00,6951
139.25,6951
139.50,6951
139.75,6951
140.00,6951
140.25,6951
140.50,6951
140.75,6951
141.00,6951
141.25,6951
141.50,6951
141.75,6951
142.00,6951
142.25,6951
142.50,6951
