time_elapsed,explored_cells,distance
1.25,680,0.00
1.50,680,0.00
1.75,680,0.00
2.00,680,0.00
2.25,680,0.00
2.50,787,0.29
2.75,838,0.66
3.00,846,1.02
3.25,849,1.40
3.50,861,1.77
3.75,869,2.15
4.00,873,2.51
4.25,883,2.89
4.50,897,3.26
4.75,904,3.64
5.00,905,4.00
5.25,911,4.38
5.50,914,4.75
5.75,920,5.12
6.00,936,5.44
6.25,939,5.74
6.50,952,6.00
6.75,958,6.24
7.00,970,6.61
7.25,981,6.99
7.50,988,7.36
7.75,996,7.54
8.00,998,7.58
8.25,1017,7.90
8.50,1024,8.19
8.75,1026,8.45
9.00,1038,8.70
9.25,1046,9.08
9.50,1051,9.45
9.75,1062,9.73
10.00,1079,9.96
10.25,1094,10.33
10.50,1110,10.71
10.75,1124,11.07
11.00,1131,11.45
11.25,1134,11.71
11.50,1143,11.94
11.75,1156,12.32
12.00,1162,12.69
12.25,1176,13.05
12.50,1181,13.43
12.75,1191,13.80
13.00,1204,14.17
13.25,1216,14.54
13.50,1218,14.85
13.75,1228,14.88
14.00,1228,14.91
14.25,1242,15.12
14.50,1249,15.34
14.75,1263,15.51
15.00,1275,15.80
15.25,1288,16.05
15.50,1299,16.31
15.75,1317,16.66
16.00,1327,16.95
16.25,1341,17.22
16.50,1343,17.38
16.75,1371,17.72
17.00,1384,18.04
17.25,1393,18.34
17.50,1405,18.55
17.75,1407,18.62
18.00,1411,18.84
18.25,1420,19.13
18.50,1421,19.27
18.75,1421,19.27
19.00,1421,19.28
19.25,1421,19.32
19.50,1421,19.36
19.75,1422,19.41
20.00,1424,19.45
20.25,1426,19.65
20.50,1431,19.97
20.75,1436,20.24
21.00,1439,20.46
21.25,1443,20.63
21.50,1446,20.90
21.75,1450,21.12
22.00,1459,21.46
22.25,1466,21.83
22.50,1473,22.21
22.75,1487,22.48
23.00,1489,22.65
23.25,1497,22.97
23.50,1503,23.24
23.75,1504,23.44
24.00,1505,23.47
24.25,1512,23.71
24.50,1517,23.92
24.75,1526,24.24
25.00,1532,24.62
25.25,1536,24.99
25.50,1550,25.36
25.75,1556,25.73
26.00,1570,26.11
26.25,1577,26.48
26.50,1587,26.85
26.75,1595,27.22
27.00,1600,27.60
27.25,1611,27.97
27.50,1619,28.34
27.75,1630,28.71
28.00,1641,29.09
28.25,1654,29.46
28.50,1660,29.75
28.75,1667,30.07
29.00,1670,30.36
29.25,1671,30.57
29.50,1689,30.90
29.75,1692,31.27
30.00,1697,31.64
30.25,1702,32.01
30.50,1707,32.39
30.75,1718,32.75
31.00,1737,33.13
31.25,1754,33.50
31.50,1784,33.86
31.75,1801,34.24
32.00,1813,34.61
32.25,1829,34.98
32.50,1840,35.35
32.75,1859,35.72
33.00,1875,36.09
33.25,1892,36.47
33.50,1898,36.74
33.75,1917,37.12
34.00,1931,37.49
34.25,1943,37.78
34.50,1948,38.02
34.75,1958,38.16
35.00,1980,38.45
35.25,1987,38.77
35.50,1997,39.03
35.75,2002,39.26
36.00,2010,39.61
36.25,2016,39.95
36.50,2016,39.98
36.75,2017,40.11
37.00,2024,40.37
37.25,2036,40.60
37.50,2047,40.94
37.75,2055,41.31
38.00,2068,41.61
38.25,2074,41.98
38.50,2086,42.27
38.75,2099,42.52
39.00,2104,42.80
39.25,2115,43.18
39.50,2122,43.55
39.75,2130,43.92
40.00,2131,44.07
40.25,2131,44.07
40.50,2131,44.07
40.75,2131,44.07
41.00,2131,44.07
41.25,2131,44.08
41.50,2131,44.11
41.75,2131,44.14
42.00,2132,44.17
42.25,2132,44.20
42.50,2136,44.39
42.75,2138,44.62
43.00,2141,44.87
43.25,2142,45.25
43.50,2143,45.62
43.75,2143,45.99
44.00,2143,46.36
44.25,2143,46.73
44.50,2143,47.10
44.75,2144,47.48
45.00,2145,47.84
45.25,2147,48.21
45.50,2150,48.56
45.75,2151,48.85
46.00,2154,49.13
46.25,2157,49.38
46.50,2163,49.76
46.75,2167,50.13
47.00,2175,50.51
47.25,2181,50.87
