time_elapsed,explored_cells,distance
5.00,311,0.00
5.25,311,0.00
5.50,311,0.00
5.75,311,0.00
6.00,313,0.00
6.25,314,0.01
6.50,314,0.01
6.75,314,0.01
7.00,319,0.01
7.25,326,0.05
7.50,328,0.06
7.75,328,0.06
8.00,328,0.06
8.25,328,0.06
8.50,328,0.06
8.75,328,0.06
9.00,328,0.06
9.25,328,0.06
9.50,328,0.06
9.75,328,0.07
10.00,328,0.07
10.25,329,0.11
10.50,331,0.15
10.75,337,0.17
11.00,353,0.21
11.25,370,0.28
11.50,398,0.34
11.75,406,0.39
12.00,418,0.43
12.25,423,0.45
12.50,432,0.48
12.75,445,0.53
13.00,447,0.56
13.25,458,0.60
13.50,470,0.66
13.75,481,0.72
14.00,491,0.77
14.25,513,0.83
14.50,522,0.88
14.75,543,0.94
15.00,553,0.98
15.25,566,1.02
15.50,592,1.09
15.75,602,1.10
16.00,619,1.14
16.25,634,1.21
16.50,646,1.26
16.75,654,1.29
17.00,662,1.33
17.25,663,1.36
17.51,674,1.40
17.75,679,1.46
18.00,687,1.48
18.25,693,1.54
18.50,695,1.58
18.75,700,1.60
19.00,704,1.64
19.26,706,1.67
19.51,710,1.70
19.76,721,1.76
20.01,731,1.81
20.26,737,1.87
20.51,750,1.93
20.76,755,1.98
21.01,768,2.04
21.26,773,2.09
21.51,784,2.15
21.76,792,2.20
22.01,798,2.26
22.26,806,2.31
22.51,812,2.37
22.76,823,2.43
23.01,826,2.48
23.26,839,2.54
23.51,845,2.59
23.76,856,2.65
24.01,864,2.70
24.26,873,2.76
24.51,880,2.82
24.76,887,2.87
25.01,896,2.93
25.26,899,2.98
25.51,909,3.04
25.76,915,3.12
26.01,921,3.19
26.26,930,3.27
26.51,933,3.34
26.76,940,3.42
27.01,944,3.48
27.26,945,3.50
27.51,947,3.52
27.76,951,3.57
28.01,956,3.60
28.26,958,3.63
28.51,967,3.67
28.76,975,3.74
29.01,979,3.79
29.26,994,3.86
29.51,1001,3.91
29.76,1004,3.94
30.01,1008,3.97
30.26,1010,4.00
30.51,1010,4.02
30.76,1010,4.02
31.01,1013,4.05
31.26,1014,4.07
31.51,1021,4.10
31.76,1027,4.14
32.01,1029,4.17
32.26,1032,4.18
32.51,1041,4.23
32.76,1045,4.27
33.01,1055,4.31
33.26,1056,4.34
33.51,1061,4.38
33.76,1066,4.45
34.01,1072,4.46
34.26,1073,4.47
34.51,1073,4.47
34.76,1077,4.49
35.01,1081,4.53
35.26,1089,4.56
35.51,1095,4.59
35.76,1102,4.65
36.01,1114,4.71
36.26,1120,4.77
36.51,1129,4.81
36.76,1135,4.87
37.01,1143,4.92
37.26,1153,4.99
37.51,1159,5.03
37.76,1165,5.11
38.01,1169,5.14
38.26,1170,5.14
38.51,1174,5.18
38.76,1179,5.22
39.01,1185,5.24
39.26,1194,5.29
39.51,1201,5.34
39.76,1215,5.41
40.01,1222,5.45
40.26,1231,5.52
40.51,1237,5.55
40.76,1239,5.58
41.01,1242,5.63
41.26,1242,5.66
41.51,1244,5.69
41.76,1244,5.72
42.01,1244,5.79
42.26,1244,5.81
42.51,1244,5.81
42.76,1244,5.81
43.01,1244,5.82
43.26,1244,5.82
43.51,1244,5.83
43.76,1244,5.83
44.01,1244,5.85
44.26,1245,5.89
44.51,1245,5.92
44.76,1246,5.94
45.01,1249,6.00
45.26,1254,6.05
45.51,1260,6.11
45.76,1266,6.17
46.01,1271,6.22
46.26,1280,6.28
46.51,1285,6.33
46.76,1294,6.40
47.01,1300,6.44
47.26,1310,6.51
47.51,1320,6.59
47.76,1330,6.66
48.02,1336,6.72
48.26,1345,6.78
48.51,1349,6.83
48.76,1359,6.89
49.01,1365,6.94
49.26,1372,7.00
49.52,1381,7.05
49.76,1388,7.11
50.01,1395,7.17
50.26,1401,7.22
50.51,1410,7.28
50.77,1414,7.33
51.02,1424,7.40
51.26,1427,7.44
51.52,1437,7.51
