time_elapsed,explored_cells,distance
3.50,311,0.00
3.75,311,0.00
4.00,311,0.00
4.25,316,0.00
4.50,317,0.01
4.75,326,0.04
5.00,338,0.06
5.25,360,0.13
5.50,369,0.16
5.75,384,0.20
6.00,394,0.25
6.25,404,0.28
6.50,410,0.31
6.75,414,0.33
7.00,426,0.37
7.25,430,0.41
7.50,435,0.43
7.75,447,0.48
8.00,451,0.53
8.25,458,0.55
8.50,467,0.60
8.75,478,0.63
9.00,487,0.66
9.25,499,0.70
9.50,511,0.75
9.75,525,0.79
10.00,543,0.86
10.25,560,0.91
10.50,573,0.98
10.75,590,1.02
11.00,596,1.05
11.25,612,1.13
11.50,626,1.17
11.75,644,1.24
12.00,659,1.30
12.25,670,1.36
12.50,681,1.43
12.75,692,1.48
13.00,700,1.55
13.25,710,1.60
13.50,718,1.67
13.75,727,1.72
14.00,735,1.78
14.25,739,1.82
14.50,740,1.83
14.75,740,1.83
15.00,742,1.86
15.25,749,1.91
15.50,755,1.96
15.75,760,2.00
16.00,766,2.05
16.25,781,2.08
16.50,784,2.11
16.75,792,2.14
17.00,799,2.17
17.25,800,2.19
17.50,816,2.24
17.75,828,2.27
18.00,834,2.30
18.25,852,2.35
18.50,861,2.40
18.75,878,2.46
19.00,890,2.50
19.25,898,2.51
19.50,916,2.57
19.75,924,2.60
20.00,939,2.63
20.25,945,2.65
20.50,957,2.70
20.75,960,2.71
21.00,960,2.72
21.25,960,2.72
21.50,961,2.72
21.75,961,2.73
22.00,974,2.76
22.25,975,2.78
22.50,985,2.83
22.75,997,2.90
23.00,1013,2.95
23.25,1023,3.02
23.50,1038,3.07
23.75,1041,3.09
24.00,1050,3.13
24.25,1054,3.16
24.50,1056,3.18
24.75,1066,3.24
25.00,1070,3.27
25.25,1074,3.30
25.50,1080,3.33
25.75,1088,3.39
26.00,1095,3.43
26.25,1103,3.50
26.50,1114,3.55
26.75,1122,3.61
27.00,1128,3.64
27.25,1133,3.70
27.50,1135,3.73
27.75,1140,3.74
28.00,1141,3.79
28.25,1145,3.83
28.50,1148,3.85
28.75,1158,3.90
29.00,1169,3.97
29.25,1173,4.01
29.50,1191,4.06
29.75,1203,4.13
30.00,1219,4.18
30.25,1235,4.25
30.50,1247,4.29
30.75,1254,4.31
31.00,1263,4.35
31.25,1265,4.38
31.50,1273,4.41
31.75,1281,4.47
32.00,1289,4.51
32.25,1298,4.55
32.50,1303,4.59
32.75,1310,4.61
33.00,1322,4.65
33.25,1339,4.73
33.50,1349,4.77
33.75,1371,4.84
34.00,1383,4.90
34.25,1400,4.96
34.50,1413,5.02
34.75,1429,5.07
35.00,1441,5.14
35.25,1455,5.19
35.50,1467,5.26
35.75,1477,5.32
36.00,1489,5.38
36.25,1495,5.43
36.50,1495,5.43
36.75,1495,5.43
37.00,1495,5.44
37.25,1497,5.46
37.50,1505,5.52
37.75,1510,5.57
38.00,1517,5.63
38.25,1523,5.68
38.50,1527,5.74
38.75,1532,5.80
39.00,1538,5.85
39.25,1540,5.88
39.50,1544,5.93
39.75,1550,5.96
40.00,1551,5.98
40.25,1560,6.03
40.50,1563,6.07
40.75,1567,6.12
41.00,1574,6.18
41.25,1582,6.23
41.50,1587,6.30
41.75,1588,6.31
42.00,1588,6.31
42.25,1588,6.31
42.50,1588,6.31
42.75,1588,6.32
43.00,1589,6.32
43.25,1590,6.33
43.50,1590,6.33
43.75,1590,6.34
44.00,1590,6.38
44.25,1590,6.41
44.50,1590,6.44
44.75,1590,6.48
45.00,1590,6.53
45.25,1590,6.60
45.50,1590,6.64
45.75,1590,6.70
46.00,1590,6.75
46.25,1590,6.81
46.50,1590,6.86
46.75,1590,6.92
47.00,1590,6.97
47.25,1590,7.03
47.50,1590,7.09
47.75,1590,7.14
48.00,1590,7.20
48.25,1590,7.24
48.50,1590,7.31
48.75,1590,7.36
49.00,1590,7.42
49.25,1590,7.47
49.50,1593,7.53
49.75,1596,7.57
50.00,1598,7.61
50.25,1600,7.65
50.50,1601,7.68
50.75,1604,7.71
51.00,1611,7.79
51.25,1616,7.83
51.50,1628,7.90
51.75,1637,7.96
52.00,1641,7.98
52.25,1643,8.02
52.50,1646,8.05
52.75,1650,8.08
53.00,1657,8.15
53.25,1659,8.16
53.50,1664,8.18
53.75,1667,8.20
54.00,1673,8.25
54.25,1677,8.29
54.50,1686,8.33
54.75,1692,8.37
55.00,1695,8.40
55.25,1708,8.43
55.50,1721,8.49
55.75,1743,8.55
56.00,1752,8.60
56.25,1755,8.61
56.50,1774,8.65
56.75,1780,8.70
57.00,1790,8.73
57.25,1793,8.75
57.50,1798,8.76
57.75,1809,8.81
58.00,1813,8.84
58.25,1819,8.86
58.50,1829,8.92
58.75,1835,8.96
59.00,1846,9.02
59.25,1846,9.02
59.50,1846,9.02
59.75,1846,9.03
60.00,1846,9.03
60.25,1846,9.03
60.50,1847,9.05
60.75,1850,9.07
61.00,1861,9.13
61.25,1868,9.17
61.50,1880,9.24
61.75,1892,9.29
62.00,1900,9.35
62.25,1915,9.40
62.50,1920,9.46
62.75,1925,9.47
63.00,1940,9.53
63.25,1946,9.57
63.50,1956,9.60
63.75,1958,9.62
64.00,1969,9.67
64.25,1973,9.69
64.50,1986,9.74
64.75,2001,9.81
65.00,2015,9.86
65.25,2025,9.91
65.50,2035,9.95
65.75,2040,9.97
66.00,2052,10.01
66.25,2062,10.08
66.50,2076,10.12
66.75,2093,10.20
67.00,2105,10.25
67.25,2122,10.31
67.50,2135,10.38
67.75,2149,10.43
68.00,2161,10.50
68.25,2174,10.55
68.50,2191,10.62
68.75,2204,10.68
69.00,2215,10.70
69.25,2221,10.74
69.50,2225,10.77
69.75,2229,10.80
70.00,2244,10.86
70.25,2252,10.89
70.50,2257,10.92
70.75,2271,10.97
71.00,2284,11.03
71.25,2294,11.08
71.50,2310,11.15
71.75,2323,11.20
72.00,2340,11.27
72.25,2351,11.33
72.50,2366,11.39
72.75,2380,11.46
73.00,2391,11.50
73.25,2401,11.58
73.50,2411,11.63
73.75,2416,11.67
74.00,2421,11.70
74.25,2423,11.73
74.50,2423,11.74
74.75,2423,11.74
75.00,2423,11.74
75.25,2423,11.74
75.50,2423,11.75
75.75,2424,11.75
76.00,2427,11.77
76.25,2432,11.79
76.50,2441,11.84
76.75,2448,11.89
77.00,2463,11.96
77.25,2467,11.98
77.50,2473,11.99
77.75,2480,12.03
78.00,2486,12.08
78.25,2495,12.11
78.50,2498,12.14
78.75,2499,12.16
79.00,2504,12.20
79.25,2505,12.22
79.50,2515,12.27
79.75,2524,12.33
80.00,2532,12.39
80.25,2539,12.44
80.50,2546,12.47
80.75,2556,12.55
81.00,2563,12.59
81.25,2567,12.62
81.50,2567,12.62
81.75,2568,12.63
82.00,2572,12.66
82.25,2580,12.69
82.50,2584,12.71
82.75,2594,12.77
83.00,2606,12.82
83.24,2619,12.89
83.50,2634,12.94
83.75,2643,13.00
83.99,2649,13.03
84.24,2665,13.10
84.50,2673,13.15
84.75,2681,13.20
85.00,2687,13.25
85.24,2695,13.32
85.49,2701,13.37
85.75,2708,13.43
86.00,2710,13.47
86.24,2710,13.47
86.49,2711,13.47
86.74,2711,13.48
86.99,2711,13.48
87.24,2711,13.48
87.49,2714,13.51
87.75,2720,13.54
87.99,2726,13.59
88.24,2732,13.63
88.49,2742,13.69
88.74,2745,13.72
88.99,2751,13.75
89.24,2760,13.81
89.49,2770,13.86
89.74,2775,13.92
89.99,2786,13.98
90.24,2789,14.03
90.49,2801,14.09
90.74,2809,14.14
90.99,2814,14.17
91.24,2822,14.21
91.49,2828,14.25
91.74,2836,14.28
91.99,2838,14.31
92.24,2844,14.34
92.49,2846,14.37
92.74,2855,14.39
92.99,2858,14.42
93.24,2861,14.45
93.49,2869,14.52
93.74,2877,14.57
93.99,2888,14.64
94.24,2894,14.70
94.49,2905,14.75
94.74,2912,14.82
94.99,2919,14.87
95.24,2930,14.94
95.49,2935,14.99
95.74,2940,15.06
95.99,2945,15.12
96.24,2945,15.17
96.49,2951,15.24
96.74,2952,15.30
96.99,2954,15.37
97.24,2955,15.42
97.49,2957,15.49
97.74,2957,15.55
97.99,2958,15.61
98.24,2958,15.68
98.49,2958,15.72
98.74,2958,15.80
98.99,2958,15.84
99.24,2958,15.91
99.49,2958,15.97
99.74,2958,16.01
99.99,2958,16.05
100.24,2958,16.07
100.49,2958,16.11
100.74,2958,16.17
100.99,2958,16.20
101.24,2958,16.26
101.49,2958,16.31
101.74,2958,16.37
101.99,2958,16.43
102.24,2958,16.48
102.49,2958,16.54
102.74,2958,16.59
102.99,2958,16.65
103.24,2958,16.69
103.49,2958,16.76
103.74,2958,16.81
103.99,2958,16.87
104.24,2958,16.92
104.49,2958,16.98
104.74,2958,17.04
104.99,2958,17.09
105.24,2958,17.15
105.49,2958,17.19
105.74,2958,17.26
105.99,2958,17.31
106.24,2958,17.37
106.49,2958,17.43
106.74,2958,17.48
106.99,2958,17.54
107.24,2958,17.59
107.49,2958,17.62
107.74,2958,17.67
107.99,2958,17.71
108.24,2958,17.73
108.49,2958,17.77
108.74,2958,17.81
108.99,2958,17.83
109.24,2958,17.88
109.49,2958,17.91
109.74,2958,17.93
109.99,2958,17.99
110.24,2958,18.04
110.49,2958,18.11
110.74,2958,18.15
110.99,2958,18.21
111.24,2958,18.26
111.49,2958,18.32
111.74,2958,18.38
111.99,2958,18.43
112.24,2958,18.47
112.49,2958,18.51
112.74,2958,18.55
112.99,2958,18.58
113.24,2958,18.61
113.49,2958,18.65
113.74,2958,18.67
113.99,2958,18.72
114.24,2958,18.75
114.49,2958,18.78
114.74,2958,18.82
114.99,2958,18.87
115.24,2958,18.94
115.49,2958,18.98
115.74,2958,19.05
115.99,2958,19.08
116.24,2958,19.11
116.49,2958,19.13
116.74,2958,19.15
116.99,2958,19.19
117.24,2958,19.22
117.49,2958,19.24
117.74,2958,19.31
117.99,2958,19.35
118.24,2958,19.41
118.49,2958,19.47
118.74,2958,19.52
118.99,2958,19.58
119.24,2958,19.63
119.49,2958,19.69
119.74,2958,19.74
119.99,2958,19.80
120.24,2958,19.85
120.49,2958,19.91
120.74,2958,19.94
120.99,2958,19.98
121.24,2958,20.03
121.49,2958,20.06
121.74,2958,20.08
121.99,2958,20.15
122.24,2958,20.21
122.49,2958,20.25
122.74,2958,20.29
122.99,2958,20.31
123.24,2958,20.34
123.49,2958,20.41
123.74,2960,20.45
123.99,2961,20.51
124.24,2965,20.57
124.49,2965,20.62
124.74,2970,20.68
124.99,2970,20.72
125.24,2970,20.72
125.49,2970,20.72
125.74,2976,20.76
125.99,2978,20.79
126.24,2978,20.81
126.49,2978,20.89
126.74,2983,20.93
126.99,2985,21.01
127.24,2985,21.06
127.49,2992,21.12
127.74,2995,21.19
127.99,3000,21.23
128.24,3005,21.31
128.49,3011,21.36
128.74,3017,21.42
128.99,3023,21.48
129.24,3030,21.54
129.49,3039,21.61
129.74,3043,21.63
129.99,3043,21.63
