time_elapsed,explored_cells,distance
0.25,530,0.88
0.51,530,0.88
0.75,530,0.88
1.01,530,0.88
1.26,530,0.88
1.50,530,0.88
1.75,530,0.88
2.01,530,0.88
2.27,533,0.88
2.50,533,0.88
2.75,533,0.88
3.01,533,0.88
3.31,533,0.89
3.50,533,0.90
3.76,533,0.93
4.00,533,0.94
4.25,533,0.06
4.52,533,0.98
4.80,533,1.00
5.00,533,1.00
5.25,562,1.00
5.51,562,1.01
5.75,562,1.01
6.01,562,1.01
6.25,562,0.09
6.50,562,0.09
6.76,562,1.04
7.00,562,1.08
7.25,562,0.21
7.51,562,1.15
7.75,562,1.23
8.00,562,1.26
8.25,314,1.28
8.50,314,1.35
8.75,314,0.44
9.00,432,0.44
9.25,562,1.36
9.50,686,1.36
9.75,628,0.44
10.00,686,0.44
10.25,628,1.36
10.50,694,0.45
10.75,694,0.52
11.00,694,0.55
11.25,698,1.49
11.51,765,1.55
11.75,717,0.69
12.00,717,1.62
12.25,717,0.73
12.50,717,0.73
12.75,804,0.73
13.02,809,0.77
14.11,809,0.77
14.25,809,1.69
14.50,809,0.82
14.75,809,1.69
15.00,809,1.69
15.25,809,0.84
15.50,809,0.87
15.74,818,0.87
16.00,827,0.92
16.25,906,1.86
16.50,906,1.87
16.75,942,1.89
17.00,965,1.93
17.55,978,1.95
17.76,987,2.06
18.00,999,2.07
18.24,1000,1.12
18.49,1006,1.13
18.74,1007,2.11
19.00,948,2.11
19.24,1014,1.17
19.49,1015,1.17
19.74,948,1.17
19.99,948,1.17
20.24,948,1.17
20.49,948,1.17
20.74,948,1.17
20.99,948,1.17
21.24,948,1.17
21.49,1032,1.73
21.75,1093,2.91
21.99,1035,1.86
22.25,1096,3.00
22.49,1097,1.93
22.74,1097,1.93
22.99,1097,1.93
23.24,1097,1.93
23.49,1097,1.93
23.74,1097,1.93
23.99,1097,1.93
24.24,1097,1.93
24.49,1097,2.58
24.74,1038,2.60
24.99,1038,2.60
