time_elapsed,explored_cells,distance
2.50,341,0.00
2.75,341,0.00
3.00,341,0.00
3.25,341,0.00
3.50,341,0.00
3.75,341,0.00
4.00,341,0.00
4.25,342,0.00
4.50,347,0.02
4.75,349,0.05
5.00,359,0.11
5.25,367,0.16
5.50,378,0.22
5.75,388,0.27
6.00,400,0.34
6.25,410,0.39
6.50,420,0.44
6.75,436,0.50
7.00,446,0.58
7.25,457,0.65
7.50,465,0.73
7.75,473,0.80
8.00,481,0.88
8.25,483,0.89
8.50,483,0.90
8.75,483,0.90
9.00,483,0.90
9.25,485,0.91
9.50,489,0.94
9.75,491,0.96
10.00,501,1.01
10.25,508,1.06
10.50,522,1.12
10.75,527,1.17
11.00,543,1.24
11.25,550,1.28
11.50,567,1.36
11.75,584,1.43
12.00,598,1.51
12.25,598,1.52
12.50,598,1.53
12.75,599,1.53
13.00,602,1.54
13.25,603,1.54
13.50,606,1.56
13.75,611,1.59
14.00,612,1.62
14.25,623,1.67
14.50,627,1.73
14.75,641,1.79
15.00,645,1.84
15.25,657,1.90
15.50,664,1.95
15.75,676,2.02
16.00,690,2.10
16.25,693,2.11
16.50,696,2.12
16.75,705,2.18
17.00,714,2.24
17.25,724,2.30
17.50,730,2.35
17.75,739,2.38
18.00,752,2.44
18.25,766,2.50
18.50,778,2.56
18.75,789,2.58
19.00,802,2.63
19.25,807,2.67
19.50,814,2.69
19.75,825,2.75
20.00,833,2.82
20.25,834,2.83
20.50,834,2.83
20.75,838,2.86
21.00,841,2.89
21.25,851,2.94
21.50,860,2.99
21.75,865,3.01
22.00,873,3.05
22.25,877,3.09
22.50,889,3.14
22.75,898,3.20
23.00,908,3.23
23.25,913,3.27
23.50,918,3.31
23.75,927,3.38
24.00,937,3.43
24.25,937,3.45
24.50,937,3.45
24.75,937,3.45
25.00,937,3.45
25.25,937,3.45
25.50,938,3.45
25.75,938,3.46
26.00,940,3.46
26.25,940,3.46
26.50,943,3.48
26.75,948,3.54
27.00,951,3.60
27.25,960,3.66
27.50,963,3.73
27.75,970,3.80
28.00,973,3.86
28.25,975,3.87
28.50,975,3.87
28.75,975,3.87
29.00,975,3.87
29.25,976,3.87
29.50,978,3.88
29.75,978,3.88
30.00,978,3.89
30.25,978,3.89
30.50,982,3.93
30.75,985,3.97
31.00,985,4.02
31.25,988,4.08
31.50,993,4.14
31.75,995,4.20
32.00,1003,4.27
32.25,1008,4.34
32.50,1019,4.41
32.75,1025,4.47
33.00,1037,4.54
33.25,1042,4.61
33.50,1051,4.68
33.75,1056,4.75
34.00,1065,4.82
34.25,1066,4.86
34.50,1066,4.88
34.75,1075,4.94
35.00,1078,4.98
35.25,1085,5.03
35.50,1093,5.08
35.75,1108,5.15
36.00,1115,5.19
36.25,1127,5.25
36.50,1135,5.29
36.75,1149,5.37
37.00,1165,5.44
37.25,1177,5.52
37.50,1189,5.59
37.75,1202,5.67
38.00,1218,5.74
38.25,1224,5.79
38.50,1242,5.87
38.75,1257,5.94
39.00,1278,6.02
39.25,1292,6.09
39.50,1305,6.17
39.75,1313,6.20
40.00,1319,6.24
40.25,1323,6.25
40.50,1323,6.27
40.75,1326,6.29
41.00,1342,6.36
41.25,1350,6.40
41.50,1358,6.47
41.75,1368,6.52
42.00,1377,6.58
42.25,1384,6.64
42.50,1394,6.71
42.75,1401,6.79
43.00,1410,6.86
43.25,1414,6.94
43.50,1422,7.01
43.75,1428,7.09
44.00,1436,7.16
44.25,1436,7.18
44.50,1437,7.20
44.75,1442,7.26
45.00,1451,7.32
45.25,1455,7.36
45.50,1457,7.39
45.75,1459,7.41
46.00,1472,7.48
46.25,1481,7.54
46.50,1491,7.60
46.75,1500,7.65
47.00,1508,7.73
47.25,1518,7.79
47.50,1522,7.85
47.75,1533,7.91
48.00,1541,7.97
48.25,1546,8.04
48.50,1553,8.09
48.75,1561,8.16
49.00,1570,8.24
49.25,1582,8.31
49.50,1590,8.39
49.75,1600,8.46
50.00,1609,8.54
50.25,1612,8.56
50.50,1613,8.56
50.75,1615,8.59
51.00,1627,8.67
51.25,1636,8.72
51.50,1648,8.79
51.75,1658,8.85
52.00,1667,8.89
52.25,1668,8.90
52.50,1668,8.90
52.75,1672,8.93
53.00,1673,8.95
53.25,1679,9.01
53.50,1684,9.06
53.75,1688,9.10
54.00,1691,9.14
54.25,1697,9.19
54.50,1709,9.25
54.75,1717,9.30
55.00,1724,9.37
55.25,1737,9.44
55.50,1745,9.51
55.75,1756,9.57
56.00,1762,9.65
56.25,1764,9.66
56.50,1764,9.66
56.75,1764,9.66
57.00,1764,9.67
57.25,1777,9.72
57.50,1783,9.78
57.75,1796,9.84
58.00,1802,9.88
58.25,1814,9.94
58.50,1821,9.99
58.75,1834,10.05
59.00,1838,10.08
59.25,1850,10.13
59.50,1853,10.17
59.75,1863,10.23
60.00,1871,10.29
60.25,1884,10.36
60.50,1887,10.40
60.75,1894,10.43
61.00,1904,10.49
61.25,1916,10.55
61.50,1922,10.60
61.75,1938,10.67
62.00,1943,10.71
62.25,1956,10.78
62.50,1965,10.83
62.75,1977,10.90
63.00,1993,10.98
63.25,2005,11.05
63.50,2012,11.13
63.75,2018,11.20
64.00,2028,11.28
64.25,2029,11.30
64.50,2034,11.34
64.75,2039,11.40
65.00,2047,11.46
65.25,2049,11.51
65.50,2056,11.57
65.75,2059,11.62
66.00,2065,11.68
66.25,2070,11.73
66.50,2076,11.79
66.75,2083,11.85
67.00,2086,11.90
67.25,2094,11.96
67.50,2101,12.04
67.75,2106,12.11
68.00,2115,12.19
68.25,2122,12.24
68.50,2126,12.32
68.75,2135,12.39
69.00,2145,12.47
69.25,2155,12.54
69.50,2159,12.62
69.75,2168,12.69
70.00,2177,12.77
70.25,2179,12.82
70.50,2187,12.89
70.75,2196,12.96
71.00,2202,13.04
71.25,2207,13.11
71.50,2215,13.19
71.75,2224,13.26
72.00,2234,13.34
72.25,2237,13.39
72.50,2240,13.42
72.75,2249,13.49
73.00,2255,13.53
73.25,2262,13.60
73.50,2272,13.65
73.75,2280,13.73
74.00,2294,13.80
74.25,2295,13.81
74.50,2301,13.84
74.75,2308,13.91
75.00,2317,13.96
75.25,2321,14.02
75.50,2330,14.07
75.75,2340,14.15
76.00,2347,14.22
76.25,2358,14.29
76.50,2359,14.33
76.75,2369,14.39
77.00,2374,14.44
77.25,2386,14.51
77.50,2391,14.57
77.75,2403,14.64
78.00,2410,14.70
78.25,2414,14.72
78.50,2414,14.72
78.75,2418,14.75
79.00,2425,14.79
79.25,2433,14.83
79.50,2440,14.88
79.75,2452,14.93
80.00,2461,15.01
80.25,2472,15.06
80.50,2478,15.12
80.75,2482,15.14
81.00,2491,15.19
81.25,2497,15.25
81.50,2504,15.31
81.75,2509,15.36
82.00,2517,15.43
82.25,2518,15.45
82.50,2518,15.45
82.75,2518,15.46
83.00,2518,15.46
83.25,2526,15.50
83.50,2536,15.57
83.75,2544,15.64
84.00,2553,15.71
84.25,2554,15.72
84.50,2555,15.72
84.75,2555,15.72
85.00,2557,15.74
85.25,2561,15.80
85.50,2565,15.86
85.75,2568,15.92
86.00,2570,15.95
86.25,2571,15.97
86.50,2575,16.00
86.75,2576,16.04
87.00,2586,16.11
87.25,2592,16.17
87.50,2601,16.24
87.75,2609,16.30
88.00,2619,16.38
88.25,2619,16.39
88.50,2619,16.39
88.75,2619,16.39
89.00,2623,16.44
89.25,2624,16.50
89.50,2624,16.52
89.75,2625,16.57
90.00,2625,16.60
90.25,2625,16.61
90.50,2625,16.61
90.75,2628,16.63
91.00,2633,16.70
91.25,2634,16.73
91.50,2640,16.78
91.75,2642,16.83
92.00,2647,16.88
92.25,2648,16.93
92.50,2655,16.99
92.75,2658,17.04
93.00,2662,17.11
93.25,2664,17.15
93.50,2668,17.22
93.75,2672,17.27
94.00,2677,17.33
94.25,2682,17.38
94.50,2685,17.44
94.75,2693,17.50
95.00,2701,17.57
95.25,2709,17.65
95.50,2717,17.72
95.75,2727,17.80
96.00,2736,17.87
96.25,2740,17.93
96.50,2749,17.99
96.75,2759,18.07
97.00,2765,18.14
97.25,2773,18.22
97.50,2782,18.29
97.75,2785,18.37
98.00,2788,18.44
98.25,2789,18.46
98.50,2789,18.46
98.75,2789,18.46
99.00,2792,18.49
99.25,2792,18.52
99.50,2798,18.57
99.75,2801,18.64
100.00,2809,18.72
100.25,2810,18.73
100.50,2810,18.73
100.75,2814,18.77
101.00,2815,18.81
101.25,2815,18.83
101.50,2820,18.87
101.75,2822,18.93
102.00,2826,18.96
102.25,2829,19.03
102.50,2838,19.08
102.75,2840,19.14
103.00,2852,19.20
103.25,2859,19.28
103.50,2873,19.35
103.75,2895,19.43
104.00,2917,19.50
104.25,2929,19.55
104.50,2944,19.62
104.75,2953,19.65
105.00,2967,19.69
105.25,2975,19.73
105.50,2979,19.76
105.75,2987,19.79
106.00,2993,19.86
106.25,2993,19.87
106.50,2993,19.87
106.75,2993,19.87
107.00,2993,19.88
107.25,3006,19.94
107.50,3013,19.99
107.75,3025,20.06
108.00,3033,20.11
108.25,3040,20.14
108.50,3046,20.18
108.75,3047,20.20
109.00,3057,20.25
109.25,3062,20.31
109.50,3074,20.37
109.75,3079,20.42
110.00,3087,20.48
110.25,3088,20.49
110.50,3088,20.49
110.75,3088,20.49
111.00,3088,20.50
111.25,3088,20.50
111.50,3088,20.50
111.75,3090,20.52
112.00,3099,20.55
112.25,3105,20.62
112.50,3115,20.67
112.75,3121,20.73
113.00,3130,20.78
113.25,3140,20.86
113.50,3149,20.93
113.75,3162,21.01
114.00,3175,21.08
114.25,3177,21.10
114.50,3177,21.10
114.75,3177,21.11
115.00,3177,21.11
115.25,3178,21.12
115.50,3182,21.16
115.75,3184,21.18
116.00,3197,21.24
116.25,3207,21.30
116.50,3216,21.36
116.75,3226,21.41
117.00,3234,21.47
117.25,3246,21.53
117.50,3257,21.60
117.75,3268,21.68
118.00,3279,21.75
118.25,3290,21.81
118.50,3298,21.87
118.75,3307,21.92
119.00,3317,22.00
119.25,3326,22.07
119.50,3340,22.15
119.75,3348,22.22
120.00,3358,22.30
120.25,3365,22.37
120.50,3372,22.40
120.75,3377,22.43
121.00,3399,22.50
121.25,3421,22.58
121.50,3436,22.63
121.75,3450,22.67
122.00,3461,22.71
122.25,3470,22.74
122.50,3485,22.79
122.75,3500,22.84
123.00,3517,22.91
123.25,3522,22.95
123.50,3534,23.00
123.75,3537,23.05
124.00,3544,23.11
124.25,3546,23.13
124.50,3546,23.13
124.75,3546,23.13
125.00,3546,23.13
125.25,3546,23.13
125.50,3546,23.14
125.75,3546,23.14
126.00,3546,23.14
126.25,3550,23.20
126.50,3556,23.25
126.75,3565,23.32
127.00,3569,23.34
127.25,3579,23.39
127.50,3583,23.43
127.75,3593,23.49
128.00,3601,23.54
128.25,3615,23.61
128.50,3619,23.65
128.75,3635,23.72
129.00,3640,23.76
129.25,3654,23.81
129.50,3659,23.85
129.75,3670,23.91
130.00,3678,23.96
130.25,3693,24.02
130.50,3697,24.07
130.75,3711,24.14
131.00,3717,24.17
131.25,3731,24.24
131.50,3743,24.29
131.75,3753,24.36
132.00,3761,24.41
132.25,3765,24.43
132.50,3770,24.48
132.75,3779,24.54
133.00,3791,24.60
133.25,3804,24.67
133.50,3816,24.73
133.75,3833,24.81
134.00,3846,24.87
134.25,3861,24.94
134.50,3871,25.01
134.75,3884,25.08
135.00,3892,25.15
135.25,3904,25.22
135.50,3911,25.29
135.75,3922,25.36
136.00,3930,25.43
136.25,3930,25.47
136.50,3935,25.51
136.75,3938,25.54
137.00,3940,25.57
137.25,3945,25.64
137.50,3947,25.66
137.75,3950,25.71
138.00,3953,25.75
138.25,3959,25.81
138.50,3965,25.87
138.75,3970,25.94
139.00,3975,26.00
139.25,3979,26.07
139.50,3982,26.12
139.75,3986,26.19
140.00,3991,26.26
140.25,3991,26.32
140.50,3998,26.38
140.75,3999,26.46
141.00,4002,26.53
141.25,4004,26.61
141.50,4005,26.68
141.75,4006,26.76
142.00,4006,26.83
142.25,4006,26.89
142.50,4011,26.94
142.75,4011,27.01
143.00,4011,27.07
143.25,4011,27.15
143.50,4011,27.20
143.75,4013,27.24
144.00,4014,27.27
144.25,4015,27.30
144.50,4015,27.36
144.75,4015,27.40
145.00,4015,27.47
145.25,4016,27.52
145.50,4016,27.59
145.75,4016,27.64
146.00,4016,27.69
146.25,4016,27.76
146.50,4016,27.83
146.75,4016,27.91
147.00,4016,27.98
147.25,4016,28.06
147.50,4016,28.13
147.75,4016,28.21
148.00,4016,28.28
148.25,4016,28.36
148.50,4016,28.43
148.75,4016,28.50
149.00,4016,28.58
149.25,4016,28.66
149.50,4016,28.73
149.75,4016,28.81
150.00,4016,28.88
150.25,4016,28.96
150.50,4016,29.03
150.75,4016,29.11
151.00,4016,29.18
151.25,4016,29.26
151.50,4016,29.33
151.75,4016,29.37
152.00,4016,29.44
152.25,4016,29.50
152.50,4016,29.57
152.75,4016,29.65
153.00,4016,29.72
153.25,4016,29.80
153.50,4016,29.87
153.75,4016,29.95
154.00,4016,30.02
154.25,4016,30.10
154.50,4016,30.17
154.75,4016,30.25
155.00,4021,30.32
155.25,4025,30.40
155.50,4030,30.47
155.75,4039,30.55
156.00,4045,30.62
156.25,4045,30.67
156.50,4059,30.73
156.75,4067,30.79
157.00,4076,30.87
157.25,4095,30.94
157.50,4120,31.02
157.75,4150,31.09
158.00,4168,31.17
158.25,4168,31.18
158.50,4171,31.18
158.75,4177,31.19
159.00,4194,31.24
159.25,4209,31.31
159.50,4218,31.35
159.75,4220,31.37
160.00,4235,31.43
160.25,4235,31.45
160.50,4238,31.47
160.75,4249,31.54
161.00,4253,31.58
161.25,4264,31.65
161.50,4271,31.70
161.75,4276,31.76
162.00,4284,31.81
162.25,4284,31.87
162.50,4299,31.93
162.75,4302,31.97
163.00,4315,32.04
163.25,4321,32.08
163.50,4332,32.16
163.75,4345,32.23
164.00,4356,32.31
164.25,4356,32.37
164.50,4371,32.42
164.75,4383,32.50
165.00,4390,32.58
165.25,4401,32.65
165.50,4413,32.73
165.75,4424,32.80
166.00,4430,32.88
166.25,4430,32.91
166.50,4439,32.96
166.75,4444,33.00
167.00,4452,33.07
167.25,4457,33.13
167.50,4462,33.20
167.75,4471,33.26
168.00,4479,33.33
168.25,4479,33.38
168.50,4492,33.43
168.75,4495,33.46
169.00,4496,33.48
169.25,4509,33.54
169.50,4517,33.60
169.75,4525,33.67
170.00,4535,33.72
170.25,4535,33.78
170.50,4545,33.81
170.75,4556,33.87
171.00,4566,33.93
171.25,4573,33.99
171.50,4586,34.05
171.75,4592,34.10
172.00,4605,34.16
172.25,4605,34.20
172.50,4627,34.28
172.75,4641,34.35
173.00,4654,34.43
173.25,4664,34.50
173.50,4678,34.58
173.75,4692,34.65
174.00,4700,34.73
174.25,4700,34.75
174.50,4701,34.75
174.75,4702,34.75
175.00,4703,34.76
175.25,4703,34.76
175.50,4705,34.79
175.75,4715,34.84
176.00,4720,34.89
176.25,4720,34.95
176.50,4737,35.00
176.75,4745,35.04
177.00,4749,35.09
177.25,4757,35.15
177.50,4760,35.21
177.75,4769,35.27
178.00,4771,35.34
178.25,4771,35.35
178.50,4775,35.36
178.75,4781,35.41
179.00,4788,35.45
179.25,4793,35.52
179.50,4797,35.55
179.75,4802,35.57
180.00,4807,35.61
180.25,4807,35.65
180.50,4825,35.72
180.75,4831,35.77
181.00,4844,35.84
181.25,4855,35.91
181.50,4863,35.97
181.75,4874,36.03
182.00,4881,36.09
182.25,4881,36.17
182.50,4907,36.24
182.75,4915,36.31
183.00,4925,36.39
183.25,4932,36.46
183.50,4943,36.53
183.75,4947,36.60
184.00,4957,36.68
184.25,4957,36.74
184.50,4970,36.79
184.75,4974,36.83
185.00,4976,36.86
185.25,4985,36.90
185.50,4992,36.96
185.75,4992,37.02
186.00,4994,37.07
186.25,4994,37.09
186.50,4994,37.11
186.75,4996,37.15
187.00,4999,37.19
187.25,5001,37.25
187.50,5002,37.30
187.75,5004,37.38
188.00,5006,37.43
188.25,5006,37.47
188.50,5007,37.51
188.75,5008,37.53
189.00,5008,37.59
189.25,5008,37.63
189.50,5008,37.68
189.75,5008,37.73
190.00,5008,37.80
190.25,5008,37.85
190.50,5008,37.92
190.75,5009,37.99
191.00,5010,38.07
191.25,5010,38.14
191.50,5011,38.22
191.75,5011,38.30
192.00,5012,38.37
192.25,5012,38.45
192.50,5012,38.52
192.75,5012,38.60
193.00,5012,38.67
193.25,5012,38.74
193.50,5012,38.82
193.75,5012,38.90
194.00,5012,38.97
194.25,5012,39.05
194.50,5012,39.12
194.75,5012,39.19
195.00,5012,39.27
195.25,5012,39.35
195.50,5012,39.42
195.75,5012,39.50
196.00,5012,39.57
196.25,5012,39.64
196.50,5012,39.72
196.75,5012,39.80
197.00,5012,39.87
197.25,5012,39.94
197.50,5012,40.02
197.75,5012,40.10
198.00,5012,40.17
198.25,5012,40.25
198.50,5012,40.32
198.75,5012,40.39
199.00,5012,40.47
199.25,5012,40.54
199.50,5012,40.62
199.75,5012,40.70
200.00,5012,40.77
200.25,5012,40.85
200.50,5012,40.92
200.75,5012,41.00
201.00,5012,41.07
201.25,5012,41.15
201.50,5012,41.22
201.75,5012,41.30
202.00,5012,41.37
202.25,5012,41.45
202.50,5012,41.52
202.75,5012,41.59
203.00,5012,41.67
203.25,5012,41.75
203.50,5012,41.82
203.75,5012,41.90
204.00,5012,41.97
204.25,5012,42.04
204.50,5012,42.12
204.75,5012,42.20
205.00,5012,42.27
205.25,5012,42.35
205.50,5012,42.42
205.75,5012,42.50
206.00,5012,42.57
206.25,5012,42.65
206.50,5012,42.72
206.75,5012,42.79
207.00,5013,42.87
207.25,5017,42.94
207.50,5024,43.02
207.75,5032,43.09
208.00,5041,43.15
208.25,5041,43.19
208.50,5048,43.21
208.75,5057,43.24
209.00,5066,43.32
209.25,5070,43.37
209.50,5076,43.41
209.75,5083,43.45
210.00,5084,43.47
210.25,5084,43.48
210.50,5098,43.55
210.75,5111,43.61
211.00,5123,43.67
211.25,5132,43.72
211.50,5151,43.80
211.75,5168,43.88
212.00,5184,43.94
212.25,5184,44.01
212.50,5198,44.05
212.75,5200,44.06
213.00,5206,44.11
213.25,5208,44.14
213.50,5212,44.17
213.75,5217,44.23
214.00,5224,44.29
214.25,5224,44.35
214.50,5238,44.40
214.75,5240,44.46
215.00,5252,44.52
215.25,5260,44.60
215.50,5267,44.67
215.75,5277,44.75
216.00,5288,44.82
216.25,5288,44.87
216.50,5301,44.93
216.75,5311,44.98
217.00,5320,45.06
217.25,5335,45.13
217.50,5349,45.21
217.75,5354,45.28
218.00,5362,45.36
218.25,5362,45.43
218.50,5370,45.51
218.75,5373,45.58
219.00,5374,45.66
