time_elapsed,explored_cells,distance
1.25,398,0.00
1.50,398,0.00
1.75,398,0.00
2.00,398,0.00
2.25,412,0.06
2.50,431,0.11
2.75,443,0.18
3.00,459,0.24
3.25,476,0.32
3.50,497,0.39
3.75,509,0.46
4.00,525,0.53
4.25,535,0.57
4.50,540,0.60
4.75,542,0.62
5.00,551,0.68
5.25,554,0.72
5.50,558,0.74
5.75,561,0.79
6.00,564,0.84
6.25,568,0.87
6.50,568,0.89
6.75,575,0.96
7.00,579,1.01
7.25,584,1.07
7.50,586,1.10
7.75,589,1.13
8.00,595,1.19
8.25,599,1.23
8.50,606,1.29
8.75,614,1.34
9.00,619,1.40
9.25,626,1.45
9.50,633,1.51
9.75,643,1.57
10.00,648,1.62
10.25,662,1.68
10.50,666,1.73
10.75,677,1.79
11.00,684,1.84
11.25,696,1.90
11.50,703,1.95
11.75,710,2.01
12.00,721,2.07
12.25,724,2.12
12.50,736,2.18
12.75,742,2.23
13.00,750,2.26
13.25,755,2.30
13.50,758,2.33
13.75,765,2.36
14.00,770,2.40
14.25,774,2.43
14.50,780,2.45
14.75,789,2.52
15.00,800,2.57
15.25,807,2.63
15.50,820,2.68
15.75,828,2.73
16.00,840,2.79
16.25,848,2.82
16.50,857,2.85
16.75,863,2.87
17.00,874,2.94
17.25,891,3.00
17.50,901,3.06
17.75,916,3.13
18.00,929,3.18
18.25,939,3.26
18.50,951,3.33
18.75,954,3.38
19.00,962,3.44
19.25,964,3.47
19.50,966,3.50
19.75,970,3.55
20.00,972,3.59
20.25,973,3.61
20.50,975,3.66
20.75,975,3.69
21.00,976,3.72
21.25,977,3.75
21.50,980,3.80
21.75,980,3.83
22.00,981,3.88
22.25,981,3.91
22.50,981,3.93
22.75,981,3.99
23.00,981,4.03
23.25,981,4.03
23.50,981,4.03
23.75,981,4.03
24.00,981,4.03
24.25,981,4.04
24.50,981,4.04
24.75,981,4.04
25.00,981,4.05
25.25,981,4.08
25.50,981,4.10
25.75,981,4.10
26.00,983,4.14
26.25,983,4.17
26.50,983,4.20
26.75,983,4.24
27.00,983,4.31
27.25,985,4.37
27.50,986,4.42
27.75,990,4.49
28.00,994,4.57
28.25,1003,4.64
28.50,1009,4.69
28.75,1015,4.73
29.00,1020,4.76
29.25,1023,4.79
29.50,1024,4.80
29.75,1025,4.80
30.00,1027,4.83
30.25,1027,4.85
30.50,1045,4.91
30.75,1058,4.97
31.00,1070,5.03
31.25,1078,5.09
31.50,1085,5.13
31.75,1092,5.17
32.00,1095,5.20
32.25,1098,5.23
32.50,1109,5.29
32.75,1113,5.33
33.00,1121,5.40
33.25,1128,5.44
33.50,1134,5.51
33.75,1143,5.56
34.00,1147,5.62
34.25,1155,5.67
34.50,1163,5.74
34.75,1173,5.82
35.00,1185,5.89
35.25,1197,5.97
35.50,1204,6.03
35.75,1215,6.08
36.00,1219,6.13
36.25,1235,6.20
36.50,1242,6.24
36.75,1258,6.31
37.00,1272,6.35
37.25,1285,6.42
37.50,1297,6.47
37.75,1305,6.52
38.00,1319,6.56
38.25,1323,6.61
38.50,1328,6.64
38.75,1337,6.67
39.00,1337,6.70
39.25,1344,6.77
39.50,1351,6.82
39.75,1356,6.87
40.00,1358,6.91
40.25,1359,6.93
40.50,1364,6.98
40.75,1366,7.03
41.00,1369,7.07
41.25,1371,7.11
41.50,1374,7.15
41.75,1387,7.23
42.00,1394,7.27
42.25,1396,7.30
42.50,1399,7.32
42.75,1401,7.34
43.00,1403,7.37
43.25,1405,7.39
43.50,1411,7.43
43.75,1417,7.46
44.00,1420,7.49
44.25,1425,7.52
44.50,1430,7.59
44.75,1438,7.64
45.00,1442,7.69
45.25,1450,7.75
45.50,1454,7.80
45.75,1462,7.87
46.00,1468,7.91
46.25,1479,7.98
46.50,1483,8.01
46.75,1488,8.06
47.00,1490,8.10
47.25,1497,8.13
47.50,1499,8.16
47.75,1501,8.20
48.00,1501,8.23
48.25,1506,8.26
48.50,1515,8.33
48.75,1523,8.41
49.00,1535,8.48
49.25,1539,8.54
49.50,1546,8.59
49.75,1550,8.65
50.00,1555,8.71
50.25,1559,8.76
50.50,1568,8.82
50.75,1571,8.86
51.00,1582,8.93
51.25,1584,8.98
51.50,1587,9.04
51.75,1591,9.09
52.00,1591,9.15
52.25,1594,9.18
52.50,1595,9.23
52.75,1595,9.27
53.00,1596,9.30
53.25,1598,9.31
53.50,1602,9.34
53.75,1607,9.38
54.00,1610,9.40
54.25,1614,9.43
54.50,1624,9.51
54.75,1635,9.58
55.00,1645,9.62
55.25,1648,9.63
55.50,1651,9.65
55.75,1664,9.72
56.00,1681,9.79
56.25,1685,9.86
56.50,1691,9.90
56.75,1700,9.93
57.00,1704,9.97
57.25,1707,9.99
57.50,1715,10.04
57.75,1727,10.09
58.00,1741,10.15
58.25,1756,10.20
58.50,1775,10.26
58.75,1792,10.31
59.00,1813,10.38
59.25,1838,10.42
59.50,1855,10.47
59.75,1863,10.50
60.00,1876,10.53
60.25,1892,10.56
60.50,1905,10.64
60.75,1917,10.68
61.00,1924,10.72
61.25,1934,10.76
61.50,1936,10.78
61.75,1948,10.83
62.00,1953,10.88
62.25,1966,10.94
62.50,1972,10.99
62.75,1983,11.05
63.00,1988,11.10
63.25,1998,11.17
63.50,2008,11.22
63.75,2014,11.28
64.00,2027,11.33
64.25,2031,11.38
64.50,2050,11.45
64.75,2060,11.49
65.00,2077,11.56
65.25,2085,11.60
65.50,2099,11.67
65.75,2114,11.72
66.00,2125,11.78
66.25,2133,11.81
66.50,2142,11.85
66.75,2153,11.89
67.00,2160,11.92
67.25,2163,11.94
67.50,2171,11.99
67.75,2172,12.02
68.00,2184,12.06
68.25,2196,12.10
68.50,2204,12.12
68.75,2214,12.14
69.00,2225,12.19
69.25,2233,12.23
69.50,2240,12.24
69.75,2245,12.25
70.00,2246,12.25
70.25,2256,12.29
70.50,2265,12.34
70.75,2277,12.38
71.00,2282,12.40
71.25,2288,12.43
71.50,2298,12.50
71.75,2311,12.55
72.00,2323,12.61
72.25,2332,12.65
72.50,2343,12.71
72.75,2346,12.74
73.00,2353,12.76
73.25,2359,12.83
73.50,2365,12.87
73.75,2367,12.87
74.00,2373,12.92
74.25,2376,12.96
74.50,2381,12.98
74.75,2391,13.02
75.00,2402,13.09
75.25,2418,13.16
75.50,2427,13.20
75.75,2431,13.22
76.00,2442,13.28
76.25,2443,13.31
76.50,2451,13.34
76.75,2456,13.40
77.00,2464,13.45
77.25,2470,13.51
77.50,2479,13.57
77.75,2487,13.64
78.00,2497,13.72
78.25,2518,13.79
78.50,2545,13.87
78.75,2564,13.93
79.00,2574,13.96
79.25,2590,14.00
79.50,2600,14.05
79.75,2612,14.08
80.00,2612,14.08
80.25,2612,14.09
80.50,2623,14.13
80.75,2637,14.17
81.00,2646,14.19
81.25,2649,14.22
81.50,2663,14.29
81.75,2676,14.34
82.00,2695,14.41
82.25,2702,14.47
82.50,2717,14.53
82.75,2722,14.57
83.00,2729,14.60
83.25,2736,14.66
83.50,2738,14.69
83.75,2743,14.73
84.00,2748,14.78
84.25,2755,14.85
84.50,2758,14.89
84.75,2762,14.96
85.00,2765,15.00
85.25,2767,15.07
85.50,2768,15.11
85.75,2769,15.11
86.00,2769,15.12
86.25,2769,15.12
86.50,2773,15.15
86.75,2773,15.18
87.00,2774,15.19
87.25,2774,15.20
87.50,2774,15.23
87.75,2777,15.28
88.00,2778,15.31
88.25,2778,15.31
88.50,2778,15.31
88.75,2778,15.32
89.00,2778,15.32
89.25,2778,15.32
89.50,2778,15.34
89.75,2778,15.38
90.00,2778,15.40
90.25,2778,15.45
90.50,2779,15.50
90.75,2779,15.51
91.00,2779,15.51
91.25,2779,15.51
91.50,2779,15.51
91.75,2779,15.52
92.00,2779,15.52
92.25,2779,15.52
92.50,2779,15.53
92.75,2779,15.55
93.00,2779,15.57
93.25,2779,15.58
93.50,2780,15.61
93.75,2780,15.64
94.00,2780,15.67
94.25,2781,15.69
94.50,2782,15.74
94.75,2787,15.81
95.00,2793,15.89
95.25,2805,15.96
95.50,2814,16.04
95.75,2828,16.11
96.00,2839,16.18
96.25,2853,16.23
96.50,2862,16.29
96.75,2865,16.31
97.00,2881,16.39
97.25,2890,16.45
97.50,2898,16.50
97.75,2903,16.56
98.00,2913,16.60
98.25,2921,16.66
98.50,2929,16.71
98.75,2941,16.77
99.00,2953,16.82
99.25,2964,16.86
99.50,2965,16.89
99.75,2971,16.91
100.00,2980,16.98
100.25,2981,17.04
100.50,2984,17.06
100.75,2991,17.11
101.00,2993,17.14
101.25,2993,17.16
101.50,3002,17.21
101.75,3006,17.26
102.00,3015,17.32
