time_elapsed,explored_cells,distance
5.50,389,0.00
5.75,389,0.00
6.00,389,0.00
6.25,396,0.21
6.50,400,0.46
6.75,403,0.71
7.00,405,0.96
7.25,405,1.10
7.50,405,1.13
7.75,405,1.15
8.00,405,1.31
8.25,407,1.45
8.50,408,1.68
8.75,410,1.93
9.00,411,2.14
9.25,413,2.39
9.50,417,2.64
9.75,420,2.89
10.00,421,3.14
10.25,423,3.39
10.50,427,3.57
10.75,430,3.76
11.00,432,3.98
11.25,439,4.19
11.50,441,4.39
11.75,448,4.64
12.00,450,4.89
12.25,450,5.14
12.50,450,5.39
12.75,450,5.64
13.00,480,5.89
13.25,486,6.13
13.50,489,6.38
13.75,489,6.59
14.00,489,6.89
14.25,489,7.14
14.50,489,7.39
14.75,514,7.59
15.00,518,7.81
15.25,520,8.00
15.50,523,8.25
15.75,526,8.50
16.00,527,8.75
16.25,527,9.00
16.50,534,9.25
16.75,534,9.37
17.00,535,9.37
17.26,535,9.37
17.50,535,9.97
17.75,535,10.23
18.00,535,10.48
18.25,542,10.73
18.50,542,10.98
18.75,551,11.23
19.00,562,11.48
19.25,571,11.69
19.50,575,11.94
19.75,577,12.13
20.00,586,12.34
20.25,589,12.52
20.50,599,12.77
20.75,609,12.99
21.00,617,13.23
21.25,621,13.30
21.50,621,13.33
21.75,623,13.35
22.00,623,13.43
22.25,623,13.61
22.50,623,13.85
22.75,623,14.11
23.00,623,14.33
23.25,623,14.60
23.50,643,14.76
25.53,643,14.76
25.75,643,14.95
26.02,643,15.15
26.25,643,15.44
26.50,654,15.60
26.75,656,15.93
27.00,664,16.20
27.25,665,16.45
27.51,677,16.70
27.75,681,16.95
28.00,688,17.19
28.26,696,17.39
28.50,710,17.69
28.83,712,17.78
29.00,712,17.78
29.25,729,18.31
29.50,752,18.66
29.76,760,18.84
30.00,768,19.07
30.25,784,19.22
30.50,812,19.56
30.76,834,19.78
31.07,834,19.81
31.26,842,20.01
31.50,862,20.26
31.75,875,20.51
32.00,891,20.76
32.26,897,20.86
32.51,908,21.09
32.76,916,21.24
33.13,916,21.25
33.28,916,21.25
45.85,921,21.25
47.50,921,21.37
47.52,921,21.38
47.76,922,21.41
48.01,923,21.43
48.26,926,21.45
48.51,926,21.47
48.88,926,21.47
49.01,926,21.51
49.26,926,21.54
49.51,926,21.56
49.76,926,21.58
50.01,926,21.60
50.26,926,21.62
50.51,926,21.64
50.76,926,21.66
51.01,926,21.69
51.26,926,21.71
51.51,926,21.73
51.76,926,21.75
52.01,926,21.77
52.26,926,21.79
52.51,926,21.82
52.76,926,21.84
53.01,926,21.86
53.26,926,21.88
53.51,926,21.90
53.76,926,21.92
54.01,926,21.94
54.26,926,21.97
54.51,926,21.99
54.76,926,22.01
55.01,926,22.03
55.26,926,22.05
55.51,926,22.07
55.76,926,22.10
56.01,926,22.12
56.26,926,22.14
56.51,926,22.16
56.76,926,22.18
57.01,926,22.20
57.26,926,22.22
57.51,926,22.25
57.76,926,22.27
58.01,926,22.29
58.26,926,22.31
58.51,926,22.33
58.76,926,22.35
59.01,926,22.38
59.26,926,22.40
59.51,926,22.42
59.76,926,22.44
60.01,926,22.46
60.26,926,22.48
60.51,926,22.50
60.76,926,22.53
61.01,926,22.55
61.26,926,22.57
61.51,926,22.59
61.76,926,22.61
62.01,926,22.63
62.26,926,22.65
62.51,926,22.68
62.76,926,22.70
63.01,926,22.72
63.26,926,22.74
63.51,926,22.76
63.76,926,22.78
64.01,926,22.81
64.26,926,22.83
64.51,926,22.85
64.76,926,22.87
65.01,926,22.89
65.26,926,22.91
65.51,926,22.93
65.76,926,22.96
66.01,926,22.98
66.26,926,23.00
66.51,926,23.02
66.76,926,23.04
67.01,926,23.06
67.26,926,23.09
67.51,926,23.11
67.76,926,23.13
68.01,926,23.15
68.26,926,23.17
68.51,926,23.19
68.76,926,23.22
69.01,926,23.24
69.26,926,23.26
69.51,926,23.28
69.76,926,23.30
70.01,926,23.32
70.26,926,23.34
70.51,926,23.37
70.76,926,23.39
71.01,926,23.41
71.26,926,23.43
71.51,926,23.45
71.76,926,23.47
72.01,926,23.50
72.26,926,23.52
72.51,926,23.54
72.76,926,23.56
73.01,926,23.58
73.26,926,23.60
73.51,926,23.62
73.76,926,23.65
74.01,926,23.67
74.26,926,23.69
74.51,926,23.71
74.76,926,23.73
75.01,926,23.75
75.26,926,23.78
75.51,926,23.80
75.76,926,23.82
76.01,926,23.84
76.26,926,23.86
76.51,926,23.88
76.76,926,23.90
77.01,926,23.93
77.26,926,23.95
77.51,926,23.97
77.76,926,23.99
78.01,926,24.01
78.26,926,24.03
78.51,926,24.06
78.76,926,24.08
79.01,926,24.10
79.26,926,24.12
79.51,926,24.14
79.76,926,24.16
80.01,926,24.18
80.26,926,24.21
80.51,926,24.23
80.76,926,24.25
81.01,926,24.27
81.26,926,24.29
81.51,926,24.31
81.76,926,24.34
82.01,926,24.36
82.26,926,24.38
82.51,926,24.40
82.76,926,24.42
83.01,926,24.44
83.26,926,24.46
83.51,926,24.49
83.76,926,24.49
84.01,926,24.49
84.26,926,24.49
84.51,926,24.49
84.76,926,24.49
87.74,926,24.49
87.98,926,24.49
88.13,932,24.49
88.26,932,24.88
88.51,932,24.92
88.76,932,24.94
89.01,932,24.96
89.26,932,24.98
89.51,932,25.00
89.76,933,25.02
90.01,934,25.05
90.26,934,25.07
90.51,934,25.09
90.76,935,25.11
91.01,935,25.13
91.26,936,25.15
91.51,937,25.18
91.76,937,25.20
92.01,937,25.22
92.26,937,25.24
92.51,937,25.26
92.76,937,25.28
93.01,937,25.30
93.26,937,25.33
93.51,937,25.35
93.76,937,25.37
94.01,937,25.39
94.26,937,25.41
94.51,937,25.43
94.76,937,25.46
95.01,937,25.48
95.26,937,25.50
95.51,937,25.52
95.76,937,25.54
