time_elapsed,explored_cells,distance
1.75,183,0.00
2.00,183,0.00
2.25,183,0.00
2.50,183,0.00
2.75,183,0.00
3.00,184,0.02
3.25,185,0.05
3.50,189,0.08
3.75,190,0.11
4.00,191,0.14
4.25,197,0.36
4.50,202,0.61
4.75,205,0.86
5.00,214,1.11
5.25,219,1.36
5.50,225,1.61
5.75,228,1.86
6.00,233,2.11
6.25,233,2.15
6.50,233,2.15
6.75,233,2.15
7.00,233,2.15
7.25,234,2.17
7.50,234,2.19
7.75,234,2.21
8.00,234,2.24
8.25,234,2.28
8.50,235,2.50
8.75,236,2.75
9.00,236,3.00
9.25,238,3.25
9.50,239,3.50
9.75,242,3.75
10.00,247,4.00
10.25,252,4.25
10.50,257,4.50
10.75,260,4.75
11.00,266,5.00
11.25,271,5.25
11.50,275,5.50
11.75,279,5.75
12.00,285,6.00
12.25,290,6.25
12.50,295,6.50
12.75,301,6.75
13.00,301,7.00
13.25,309,7.25
13.50,311,7.50
13.75,316,7.75
14.00,319,8.00
14.25,325,8.25
14.50,328,8.50
14.75,332,8.75
15.00,335,9.00
15.25,339,9.25
15.50,343,9.50
15.75,346,9.75
16.00,350,10.00
16.25,354,10.25
16.50,358,10.50
16.75,363,10.75
17.00,365,11.00
17.25,369,11.25
17.50,373,11.50
17.75,378,11.75
18.00,381,12.00
18.25,387,12.25
18.50,389,12.50
18.75,393,12.75
19.00,394,13.00
19.25,399,13.25
19.50,402,13.50
19.75,406,13.75
20.00,408,14.00
20.25,414,14.25
20.50,416,14.50
20.75,421,14.75
21.00,421,15.00
21.25,426,15.25
21.50,431,15.50
21.75,437,15.75
22.00,439,16.00
22.25,445,16.25
22.50,449,16.50
22.75,456,16.75
23.00,463,17.00
23.25,469,17.25
23.50,475,17.50
23.75,486,17.75
24.00,493,18.00
24.25,504,18.25
24.50,514,18.50
24.75,530,18.75
25.00,539,19.00
25.25,546,19.25
25.50,562,19.38
25.75,572,19.63
26.00,576,19.88
26.25,584,20.10
26.50,590,20.35
26.75,596,20.60
27.00,603,20.85
27.25,606,21.10
27.50,615,21.35
27.75,617,21.60
28.00,627,21.85
28.25,629,22.10
28.50,638,22.35
28.75,642,22.60
29.00,651,22.85
29.25,655,23.10
29.50,665,23.35
