time_elapsed,explored_cells,distance
1.75,183,0.00
2.00,183,0.00
2.25,183,0.00
2.50,183,0.00
2.75,183,0.00
3.00,183,0.00
3.25,184,0.01
3.50,185,0.04
3.75,189,0.08
4.00,190,0.11
4.25,191,0.14
4.50,195,0.34
4.75,201,0.55
5.00,202,0.75
5.25,211,1.00
5.50,217,1.25
5.75,224,1.50
6.00,227,1.75
6.25,231,2.00
6.50,234,2.25
6.75,235,2.50
7.00,236,2.75
7.25,237,3.00
7.50,237,3.25
7.75,238,3.50
8.00,239,3.75
8.25,239,4.00
8.50,239,4.19
8.75,239,4.19
9.00,239,4.19
9.25,239,4.19
9.50,239,4.22
9.75,239,4.25
10.00,239,4.28
10.25,239,4.30
10.50,239,4.41
10.75,239,4.63
11.00,239,4.82
11.25,239,5.07
11.50,240,5.32
11.75,240,5.57
12.00,240,5.82
12.25,241,6.07
12.50,241,6.32
12.75,242,6.57
13.00,243,6.82
13.25,248,7.07
13.50,251,7.29
13.75,253,7.50
14.00,254,7.73
14.25,257,7.94
14.50,257,8.00
14.75,258,8.09
15.00,263,8.32
15.25,266,8.50
15.50,271,8.75
15.75,276,8.97
16.00,279,9.18
16.25,284,9.43
16.50,286,9.68
16.75,291,9.93
17.00,294,10.18
17.25,303,10.43
17.50,306,10.68
17.75,311,10.93
18.00,313,11.18
18.25,317,11.43
18.50,321,11.63
18.75,325,11.88
19.00,327,12.11
19.25,331,12.29
19.50,335,12.54
19.75,337,12.77
20.00,337,12.80
20.25,341,12.96
20.50,345,13.17
20.75,350,13.38
21.00,354,13.63
21.25,356,13.88
21.50,359,14.13
21.75,362,14.38
22.00,368,14.63
22.25,370,14.88
22.50,375,15.13
22.75,376,15.30
23.00,380,15.55
23.25,383,15.76
23.50,387,15.97
23.75,389,16.22
24.00,391,16.47
24.25,397,16.72
24.50,397,16.97
24.75,403,17.22
25.00,404,17.47
25.25,409,17.72
25.50,410,17.97
25.75,417,18.22
26.00,417,18.47
26.25,424,18.72
26.50,424,18.97
26.75,431,19.22
27.00,434,19.47
27.25,439,19.72
27.50,441,19.97
27.75,452,20.22
28.00,455,20.47
28.25,462,20.72
28.50,465,20.97
28.75,472,21.22
29.00,480,21.47
29.25,493,21.72
29.50,501,21.97
